# =========================================================================================================================================
🇨🇳 央视/卫视「IPV6」,#genre#
CCTV12「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
#
湖南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
辽宁卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
北京卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
东方卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
吉林卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
江苏卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
广东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
东南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
安徽卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
江西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
贵州卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
# ======================= 源1
CCTV1「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV2「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8
CCTV3「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV4「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8
CCTV5「IPV6」,http://[2409:8087:74d9:21::6]/270000001128/9900000005/index.m3u8
CCTV5+「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002139/index.m3u8
CCTV6「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226148/index.m3u8
CCTV7「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV8「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8
CCTV9「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8
CCTV10「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226164/index.m3u8
CCTV11「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226541/index.m3u8
CCTV12「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8
CCTV13「IPV6」,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000510/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000510
CCTV14「IPV6」,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226166/index.m3u8
CCTV15「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226616/index.m3u8
CCTV16「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226413/index.m3u8
CCTV17「IPV6」,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000513/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000513
#
湖南卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226193/index.m3u8
浙江卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002206/index.m3u8
辽宁卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002201/index.m3u8
北京卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226739/index.m3u8
天津卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002205/index.m3u8
东方卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221225755/index.m3u8
吉林卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000030/index.m3u8
江苏卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226157/index.m3u8
广东卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8
广西卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000034/index.m3u8
深圳卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002140/index.m3u8
东南卫视「IPV6」,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000519
四川卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000025/index.m3u8
安徽卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002200/index.m3u8
山东卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000067/index.m3u8
江西卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226207/index.m3u8
河北卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002229/index.m3u8
河南卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000027/index.m3u8
海南卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001128/9900000037/index.m3u8
湖北卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002204/index.m3u8
贵州卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002231/index.m3u8
重庆卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226551/index.m3u8
黑龙江卫视「IPV6」,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002142/index.m3u8
# ======================= 源3
CCTV1「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000311
CCTV2「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000317
CCTV3「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000359
CCTV3 HEVC「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000371
CCTV4「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000320
CCTV4欧洲「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000350
CCTV4美洲「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000351
CCTV5「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000360
CCTV5 HEVC「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000372
CCTV5+「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000316
CCTV6「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000361
CCTV6 HEVC「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000374
CCTV7「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000318
CCTV8「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000362
CCTV8 HEVC「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000376
CCTV9「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000319
CCTV10「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000321
CCTV11「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000344
CCTV12「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000322
CCTV13「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000345
CCTV14「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000323
CCTV15「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000346
CCTV17「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000303
#
湖南卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000324
浙江卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000305
辽宁卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000326
北京卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000302
天津卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000327
东方卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000309
东南卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000310
吉林卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000363
云南卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000367
四川卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000348
安徽卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000328
广东卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000307
广西卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000368
江苏卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000304
江西卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000335
河北卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000330
河南卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000358
海南卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000347
深圳卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000308
湖北卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000325
甘肃卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000349
贵州卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000329
重庆卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000341
青海卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000366
黑龙江卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000306
三沙卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000078
兵团卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000071
内蒙古卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000040
厦门卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000075
宁夏卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000043
山西卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000032
延边卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000668
新疆卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000044
西藏卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000045
农林卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000072
陕西卫视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000029
#
CHC动作电影「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002030
CHC家庭影院「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002028
CHC影迷电影「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002029
SiTV东方财经「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002025
SiTV乐游「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002016
SiTV动漫秀场「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002000
SiTV劲爆体育「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002026
SiTV法治天地「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002010
SiTV游戏风云「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002024
SiTV生活时尚「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002019
SiTV都市剧场「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002022
SiTV金色学堂「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002018
SiTV魅力足球「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002021
上海纪实人文「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000333
北京纪实科教「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000332
金鹰纪实「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000334
北京卡酷少儿「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000661
金鹰卡通「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002027
快乐垂钓「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000648
茶频道「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000649
文物宝库「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000658
梨园频道「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000656
武术世界「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000657
精彩影视「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00002012
中国交通「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000073
#
哈哈炫动「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000050
嘉佳卡通「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000074
新动漫「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000659
优优宝贝「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000641
优漫卡通「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000049
金鹰卡通「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000047
先锋乒羽「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000650
中华特产「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000642
书画频道「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000651
四海钓鱼「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000640
财富天下「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000607
环球旅游「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000643
车迷频道「IPV6」,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000645
# =========================================================================================================================================
🎬 NewTV「IPV6」,#genre#
NewTV_哒啵赛事「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
NewTV_黑莓动画「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
NewTV_黑莓电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTV_超级电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV_超级电视剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV_超级体育「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV_超级综艺「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV_金牌综艺「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV_东北热剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV_古装剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV_欢乐剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV_怡伴健康「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTV_潮妈辣婆「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV_军旅剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV_军事评论「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTV_中国功夫「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV_农业致富「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTV_动作电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV_家庭剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV_惊悚悬疑「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV_武博世界「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTV_炫舞未来「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
NewTV_爱情喜剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV_精品萌宠「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV_精品体育「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTV_精品大剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV_精品记录「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
# =========================================================================================================================================
⛹🏻‍♂️ 咪咕「IPV6」,#genre#
CCTV1综合,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv1
CCTV2财经 ,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv2
CCTV3综艺,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv3
CCTV4中文国际,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=cctv4
